iter	Passed	Remaining
584	1838	1304
585	1839	1299
586	1841	1295
587	1846	1293
588	1848	1289
589	1850	1285
590	1851	1281
591	1853	1277
592	1865	1280
593	1866	1276
594	1868	1271
595	1870	1267
596	1875	1266
597	1878	1262
598	1883	1260
599	1885	1257
600	1901	1262
601	1903	1258
602	1917	1262
603	1918	1258
604	1921	1254
605	1925	1251
606	1927	1247
607	1929	1244
608	1931	1240
609	1932	1235
610	1934	1231
611	1940	1230
612	1942	1226
613	1944	1222
614	1947	1218
615	1948	1214
616	1950	1210
617	1964	1214
618	1967	1210
619	1972	1209
620	1974	1205
621	1976	1201
622	1977	1196
623	1979	1192
624	1980	1188
625	1982	1184
626	1988	1183
627	1990	1179
628	1991	1174
629	1993	1170
630	1995	1166
631	1996	1162
632	1998	1158
633	2012	1161
634	2014	1158
635	2021	1156
636	2022	1152
637	2024	1148
638	2026	1145
639	2028	1140
640	2029	1136
641	2035	1135
642	2037	1131
643	2039	1127
644	2042	1124
645	2044	1120
646	2047	1117
647	2050	1113
648	2053	1110
649	2058	1108
650	2060	1104
651	2068	1104
652	2071	1100
653	2074	1097
654	2080	1095
655	2085	1093
656	2086	1089
657	2088	1085
658	2094	1083
659	2098	1081
660	2102	1078
661	2115	1080
662	2117	1076
663	2137	1081
664	2139	1077
665	2142	1074
666	2144	1070
667	2145	1066
668	2147	1062
669	2150	1059
670	2151	1055
671	2157	1053
672	2159	1049
673	2160	1045
674	2162	1041
675	2163	1037
676	2165	1033
677	2172	1031
678	2174	1027
679	2175	1023
680	2177	1019
681	2178	1015
682	2180	1012
683	2181	1008
684	2183	1004
685	2188	1001
686	2190	998
687	2192	994
688	2193	990
689	2195	986
690	2196	982
691	2198	978
692	2206	977
693	2208	973
694	2209	969
695	2211	965
696	2215	962
697	2217	959
698	2218	955
699	2220	951
700	2221	947
701	2224	944
702	2225	940
703	2228	936
704	2232	934
705	2233	930
706	2235	926
707	2237	922
708	2240	919
709	2245	917
710	2248	913
711	2249	910
712	2251	906
713	2252	902
714	2253	898
715	2254	894
716	2255	890
717	2257	886
718	2263	884
719	2264	880
720	2266	876
721	2267	873
722	2269	869
723	2270	865
724	2272	862
725	2276	859
726	2279	856
727	2281	852
728	2283	848
729	2284	845
730	2286	841
731	2287	837
732	2291	834
733	2293	831
734	2295	827
735	2296	823
736	2298	820
737	2299	816
738	2301	812
739	2302	809
740	2310	807
741	2312	803
742	2314	800
743	2316	797
744	2317	793
745	2320	790
746	2324	787
747	2325	783
748	2327	779
749	2328	776
750	2330	772
751	2332	769
752	2338	767
753	2340	763
754	2341	759
755	2343	756
756	2344	752
757	2352	751
758	2359	749
759	2361	745
760	2363	742
761	2365	738
762	2371	736
763	2373	733
764	2375	729
765	2377	726
766	2380	723
767	2386	720
768	2388	717
769	2390	713
770	2391	710
771	2393	706
772	2396	703
773	2427	708
774	2428	705
775	2434	702
776	2436	699
777	2438	695
778	2440	692
779	2442	688
780	2444	685
781	2448	682
782	2451	679
783	2453	675
784	2456	672
785	2458	669
786	2459	665
787	2484	668
788	2486	665
789	2488	661
790	2491	658
791	2500	656
792	2504	653
793	2506	650
794	2516	648
795	2536	650
796	2538	646
797	2542	643
798	2543	639
799	2545	636
800	2547	632
801	2549	629
802	2551	626
803	2556	623
804	2559	619
805	2560	616
806	2562	612
807	2563	609
808	2566	606
809	2572	603
810	2608	607
811	2610	604
812	2612	600
813	2614	597
814	2615	593
815	2621	591
816	2623	587
817	2625	584
818	2627	580
819	2628	577
820	2663	580
821	2669	578
822	2671	574
823	2673	570
824	2674	567
825	2678	564
826	2679	560
827	2687	558
828	2689	554
829	2691	551
830	2692	547
831	2694	544
832	2696	540
833	2702	537
834	2703	534
835	2705	530
836	2708	527
837	2710	523
838	2713	520
839	2717	517
840	2721	514
841	2722	510
842	2724	507
843	2725	503
844	2735	501
845	2736	498
846	2738	494
847	2739	491
848	2741	487
849	2743	484
850	2749	481
851	2751	477
852	2754	474
853	2756	471
854	2757	467
855	2763	464
856	2764	461
857	2766	457
858	2768	454
859	2769	450
860	2773	447
861	2778	444
862	2779	441
863	2781	437
864	2783	434
865	2785	431
866	2787	427
867	2789	424
868	2796	421
869	2798	418
870	2799	414
871	2801	411
872	2802	407
873	2804	404
874	2809	401
875	2811	398
876	2814	394
877	2815	391
878	2817	387
879	2821	384
880	2826	381
881	2829	378
882	2830	375
883	2832	371
884	2833	368
885	2835	364
886	2836	361
887	2843	358
888	2845	355
889	2846	351
890	2848	348
891	2850	345
892	2852	341
893	2856	338
894	2857	335
895	2859	331
896	2861	328
897	2862	325
898	2864	321
899	2866	318
900	2871	315
901	2873	312
902	2878	309
903	2879	305
904	2881	302
905	2882	299
906	2887	296
907	2889	292
908	2890	289
909	2892	286
910	2893	282
911	2895	279
912	2896	276
913	2901	272
914	2902	269
915	2904	266
916	2906	263
917	2907	259
918	2909	256
919	2910	253
920	2912	249
921	2916	246
922	2917	243
923	2919	240
924	2920	236
925	2922	233
926	2923	230
927	2925	226
928	2926	223
929	2928	220
930	2933	217
931	2935	214
932	2936	210
933	2938	207
934	2939	204
935	2940	201
936	2942	197
937	2947	194
938	2949	191
939	2951	188
940	2953	185
941	2955	181
942	2956	178
943	2958	175
944	2961	172
945	2963	169
946	2965	165
947	2966	162
948	2968	159
949	2969	156
950	2971	153
951	2972	149
952	2974	146
953	2980	143
954	2982	140
955	2983	137
956	2984	134
957	2986	130
958	2987	127
959	2989	124
960	2991	121
961	2994	118
962	2995	115
963	2996	111
964	2998	108
965	2999	105
966	3001	102
967	3002	99
968	3004	96
969	3007	93
970	3009	89
971	3010	86
972	3012	83
973	3013	80
974	3015	77
975	3017	74
976	3018	71
977	3020	67
978	3022	64
979	3023	61
980	3025	58
981	3026	55
982	3028	52
983	3029	49
984	3031	46
985	3033	43
986	3034	39
987	3036	36
988	3044	33
989	3046	30
990	3049	27
991	3052	24
992	3053	21
993	3059	18
994	3061	15
995	3064	12
996	3066	9
997	3067	6
998	3069	3
999	3075	0
